"sku","name","category","category_label","unit","price","image","hero_image","story","badge","hover_image"
"PP5.4g Black Tea Spoon","PP5.4g Black Plastic Tea Spoon (Heavy Weight)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000 PCS","15.00","/assets/catalog/item-152.png","","","",""
"PP5.4g Black Fork","PP5.4g Black Plastic Fork (Heavy Weight)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000 PCS","15.00","/assets/catalog/item-153.png","","","",""
"PP5.0g Extra Heavy Black Soup Spoon","PP5.0g Black Plastic Soup Spoon (Extra Heavy)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000 PCS","15.00","/assets/catalog/item-154.png","","","",""
"HWPTS- 5IW","Heavy Weight White Plastic Tea Spoon Individually Wrapped","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000PCS","21.00","/assets/catalog/item-155.png","","","",""
"HWPF-5IW","Heavy Weight White Plastic Fork Individually Wrapped","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000PCS","21.00","/assets/catalog/item-156.png","","","",""
"6 in1 Cutlery Kit (BLACK)","Heavy Duty Black Fork+spoon+knife+ Salt+pepper+napkin","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","250 Sets","23.00","/assets/catalog/item-157.png","","","",""
"3 In1 Cutlery Kit (BLACK)","Heavy Duty Black Fork+ Soup Spoon+napkin","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","250 Sets","19.00","/assets/catalog/item-158.png","","","",""
"5 in1 Cutlery Kit (BLACK)","Heavy Duty Black Fork+knife+salt+ Pepper+napkin","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","500 Sets","31.00","/assets/catalog/item-159.png","","","",""
"#1517","Dinner Napkin 2-PLY 15""×17""","napkins-paper-towels","Napkins & Paper Towels","3000 PCS","34.00","/assets/catalog/item-161.png","","","",""
"#4832","Dinner Napkins 2-Ply, White Paper","napkins-paper-towels","Napkins & Paper Towels","3000 PCS","32.00","/assets/catalog/item-162.png","","","",""
